t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
12	0.0	neg	HI	 9.240101e-02	 8.673491e-02	 9.874613e-02	 0.092840088	 0.086889910	 0.099135805	 0.09212451	 0.08685055	 0.09898026	 0.092612051	 0.086143375	 0.098654332	0.09234486	0.08593603	0.09802146	9.219534e-02	8.641484e-02	9.815827e-02
12	0.0	pos	CGF	 8.991407e-02	 8.731264e-02	 9.180004e-02	 0.086835619	 0.084514122	 0.089195786	 0.10122739	 0.09833661	 0.10377121	 0.098037873	 0.095408464	 0.100417856	0.20694234	0.20201122	0.21154596	7.599333e-02	7.367114e-02	7.798466e-02
12	0.0	pos	HI	 9.325735e-02	 8.962389e-02	 9.663020e-02	 0.092311458	 0.088473845	 0.095590522	 0.09303017	 0.08973916	 0.09665147	 0.092258136	 0.089076475	 0.095778290	0.09272622	0.08983749	0.09614467	9.189140e-02	8.879905e-02	9.517698e-02
12	0.9	neg	CGF	 7.274557e-02	 5.839947e-02	 9.019221e-02	 0.076829446	 0.061837633	 0.095234995	 0.12753337	 0.10337923	 0.15413522	 0.135962396	 0.109145318	 0.164400497	NA	NA	NA	NA	NA	NA
12	0.9	neg	HI	 9.001730e-02	 8.214084e-02	 9.826647e-02	 0.092350097	 0.084074928	 0.099487295	 0.14013199	 0.12732616	 0.15063044	 0.141001177	 0.127321495	 0.153508615	0.04899003	0.04594931	0.05328470	4.951869e-02	4.470000e-02	5.457500e-02
12	0.9	pos	CGF	 9.981692e-02	 9.000074e-02	 1.090366e-01	 0.082616800	 0.071076590	 0.092275552	 0.17377558	 0.15552547	 0.18705663	 0.141337097	 0.116672678	 0.166847000	0.80844666	0.79369115	0.82513621	NA	NA	NA
12	0.9	pos	HI	 1.073704e-01	 9.925301e-02	 1.140713e-01	 0.101023866	 0.090436972	 0.111006390	 0.16488054	 0.15110883	 0.17890068	 0.155380444	 0.143435110	 0.166787258	0.67239123	0.66199664	0.68320661	NA	NA	NA
13	0.0	neg	CGF	 8.869795e-02	 8.248235e-02	 9.504052e-02	 0.088819012	 0.082349567	 0.095918880	 0.09881170	 0.09225565	 0.10507150	 0.099455040	 0.092298202	 0.107004910	0.07896063	0.07367551	0.08520768	7.824293e-02	7.378478e-02	8.349205e-02
13	0.0	neg	HI	 9.395798e-02	 8.709328e-02	 1.005150e-01	 0.093853709	 0.086325965	 0.101246895	 0.09350600	 0.08471774	 0.10132760	 0.094203292	 0.087912250	 0.099976555	0.09407661	0.08565346	0.10240083	9.404119e-02	8.796969e-02	9.941851e-02
13	0.0	pos	CGF	 8.791365e-02	 8.279398e-02	 9.337576e-02	 0.085313980	 0.080335328	 0.090382958	 0.09853975	 0.09298833	 0.10459711	 0.094951839	 0.089772333	 0.101143761	0.19835525	0.19135552	0.20567225	7.548140e-02	7.072167e-02	8.025595e-02
